checklist_id,section,task
checklist_b,Internal,Test and check all Smoke Alarms and Carbon Monoxide Detectors.
checklist_b,Internal,Check the Fire Extinguisher (if installed) is in date and the dial indicates GREEN.
checklist_b,Internal,Check Fire Blanket (if installed) is in date (1yr - Date on back of holder)
checklist_b,Internal,Check the Torch is available within the unit / Emergency Lights are working
checklist_b,Internal,Check that the Fire Action Notice is displayed in the unit.
checklist_b,Internal,If the unit has gas appliances (Cooker/Oven/Fire): Check these are OFF (Not the boiler) and make a visual check for any damage. 
checklist_b,Internal,Check/set boiler radiator temperature dials/display is set to ECO / 55 degrees celcius.
checklist_b,Internal,Check/set boiler hot water temperature dials/display is set to 55 degrees celcius.
checklist_b,Internal,Check all plugs/sockets and cables for any visible damage/scorch marks.
checklist_b,Internal,Check all shower heads and taps are free from scale and dirt.
checklist_b,Internal,Check the Cooker Extraction Filters are clean. Clean if required.
checklist_b,Internal,Turn on the Cooker Extraction & listen for any irregular noise from the motor.
checklist_b,Internal,Turn off the Extraction after checking.
checklist_b,Internal,Visually inspect the Cooker Extraction Internals. (Filters out)
checklist_b,Internal,"Are all furniture, fixtures, and fittings free from obvious defects?"
checklist_b,Internal,Is the unit free from sharp edges?
checklist_b,Internal,Check for any items in the unit that could cause a slip/trip or fall.
checklist_b,Internal,Check all internal and external lights are working.
checklist_b,Internal,Check all openable windows in sleeping areas are functioning correctly.
checklist_b,Internal,Check all windows are closed and secure.
checklist_b,External,Check door retainer is working correctly.
checklist_b,External,"Check access steps are safe, secure, and free from damage/debris/litter/algae/moss."
checklist_b,External,Are decked areas in good condition and free from slip/trip hazards i.e. have non-slip surfaces that are free from debris/litter/algae/moss.
