checklist_id,section,task
25%_checklist,Pitch,"Nearby Road, pathway to unit clean and free of any slips or trips hazards (including algae)"
25%_checklist,Pitch,Grounds around the pitch - hardstanding.
25%_checklist,Pitch,Hardstanding pathway to the unit door/decking?
25%_checklist,Pitch,Foundation and stands checked and in correct place?
25%_checklist,Exterior,"Paving, decking, terrace and rails in good condition and not loose/wobbly?"
25%_checklist,Exterior,"Visible condition of unit: roof, guttering in good condition with no leaks/ brakes?"
25%_checklist,Exterior,Any smell or overflow of drains?
25%_checklist,Exterior,Check the caravan hook up boxes (electric and gas)- are the lids closed and sealed and in good condition?
25%_checklist,Exterior,"Visible condition of both gas bottles and regulator, check the gas bottles are not empty."
25%_checklist,Exterior,External doors all have secured steps (including patio/side doors).
25%_checklist,Exterior,All external lighting working and in good condition with shades/covers over the bulbs. (including decking lights).
25%_checklist,Exterior,Entrance door sill clean and in good condition.
25%_checklist,Exterior,"All exterior doors function well, handle is secure, the locks work and the key/fobs work. (including patio/side doors)."
25%_checklist,Exterior,All outdoor furniture is in good condition.
25%_checklist,Fire Safety,Check the dates on all smoke alarms and carbon monoxide detectors and test they are in working order.
25%_checklist,Fire Safety,"Check the fire extinguishers, (if installed) is in date and the dial indicates green."
25%_checklist,Fire Safety,Check fire blanket (if installed) is in date (1yr). (Servicing date is on back of holder)
25%_checklist,General,Check the function of all TVs and all TVs are tuned (Lounge/Bedrooms)
25%_checklist,General,Remotes working for all TVs and all batteries included with backs on (Lounge/Bedrooms)
25%_checklist,General,"All furniture is in good condition (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"All windows operate correctly and locks (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"All blinds and curtains present and in good condition. Blind cords tied back (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"All doors operate correctly, close and lock, check seals (kitchen, lounge, dining room, bedrooms, ensuite, and bathrooms)"
25%_checklist,General,"Wall fittings secure (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Light bulbs are all working and in good condition? All light fittings are secure (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Anything loose or chipped? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Operation and condition of cabinets and drawers in good condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Check the function and condition of all sinks and taps, check there are no drips or leaks? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Check the function of all toilets, do they flush with no consistent running water. (including ensuites)."
25%_checklist,General,Are all toilets and pedestals in good condition? (including en-suites).
25%_checklist,General,"Check the function of all taps and showers, check water pressure, ensure there are no drips. (kitchen, lounge, dining room, bedrooms and bathrooms, en-suites)."
25%_checklist,General,"Check the condition of all taps, ensure there is no rust or runs. (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)."
25%_checklist,General,"Check all sinks, showers and baths drain properly. (kitchen, bathrooms, en-suites)."
25%_checklist,General,Are all extractor fans working
25%_checklist,General,"Curtain rails / stall fixings all in good condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"All mirrors are in good condition (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Are all grouting and silicone in good clean condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"All hooks (including door) and rails in place and in good condition, not loose or broken (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Are all furniture, doors, handles, rails and drawers in good, safe condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Do all radiators work and are they in good condition? (no rust) (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,Conduct an RCD Check on the Consumer Unit. (Refer to the Electrical Safety Procedure Note for details) <Separate Quarterly RCD Check Sheet (QRCD1) Completion Required>
25%_checklist,General,"Are all areas of paint/wallpaper/ wallboards in good condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Are all skirting boards and flooring in good condition? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,"Are there any visible leaks in the ceiling, walls. Is there any damp or mildew? (kitchen, lounge, dining room, bedrooms, ensuites and bathrooms)"
25%_checklist,General,Is the Wi-Fi working if applicable.
25%_checklist,Electricity,Check the fuse box to see if any have tripped. (fuse box is in the master wardrobe)
25%_checklist,Boiler,Does the boiler operate from the thermostat
25%_checklist,Lounge,Function of fireplace/heater working properly?
25%_checklist,Lounge,Is the operation of the sofa-bed fully functional?
25%_checklist,Kitchen,Are all fridge shelves present and in good condition?
25%_checklist,Kitchen,"Function and condition of hob, oven- ensure oven glass is there and not cracked."
25%_checklist,Kitchen,"Function of extractor, condition and filter."
25%_checklist,Kitchen,Function and condition of dishwasher.
25%_checklist,Kitchen,Function and condition of kettle and toaster.
25%_checklist,Kitchen,Condition of work surface and edging intact.
25%_checklist,Bedroom,Are all bed legs in good condition and fitted the correct way around?
25%_checklist,Bedroom,Are all bed slats there and in good condition?
