checklist_id,section,task
Sales Stock Check,Unit Details,Make/Model (enter in comment)
Sales Stock Check,Unit Details,Year of manufacture (enter in comment)
Sales Stock Check,Unit Details,Serial Number (enter in comment)
Sales Stock Check,Unit Details,Key Number (enter in comment)
Sales Stock Check,External,Clean & free from sticky labels
Sales Stock Check,External,Pitch Tidy
Sales Stock Check,External,Steps clean & secure
Sales Stock Check,External,Doors/locks/handles/seals
Sales Stock Check,External,Panels
Sales Stock Check,External,Door catch
Sales Stock Check,External,Outside lights
Sales Stock Check,External,Guttering/downpipes
Sales Stock Check,External,Decking
Sales Stock Check,External,Extras on pitch
Sales Stock Check,Internal Lounge,"Door, handle & hinges"
Sales Stock Check,Internal Lounge,"Wall, ceiling & table lights"
Sales Stock Check,Internal Lounge,Fire
Sales Stock Check,Internal Lounge,Audio system
Sales Stock Check,Internal Lounge,"Sofa bed, mattress, upholstery"
Sales Stock Check,Internal Lounge,Wallboards & trims
Sales Stock Check,Internal Lounge,Carpet/grippers (stain& wear)
Sales Stock Check,Internal Lounge,Blinds/curtains (stains/rust)
Sales Stock Check,Internal Lounge,Windows/handles/seals/locks
Sales Stock Check,Internal Lounge,Radiators/heaters (rust-free)
Sales Stock Check,Internal Kitchen/DiningArea,"Door, handle & hinges"
Sales Stock Check,Internal Kitchen/DiningArea,Wallboards & trims
Sales Stock Check,Internal Kitchen/DiningArea,Hob/oven/grill working
Sales Stock Check,Internal Kitchen/DiningArea,"Knobs, glass & shelves clean"
Sales Stock Check,Internal Kitchen/DiningArea,"Extractor fan, clean & working"
Sales Stock Check,Internal Kitchen/DiningArea,"Dishwasher, clean & working"
Sales Stock Check,Internal Kitchen/DiningArea,"Washing machine, clean & working"
Sales Stock Check,Internal Kitchen/DiningArea,"Fridge freezer, clean & working"
Sales Stock Check,Internal Kitchen/DiningArea,Cabinets/drawers/worktops
Sales Stock Check,Internal Kitchen/DiningArea,Sink/taps/ plug and pipework
Sales Stock Check,Internal Kitchen/DiningArea,Dining table & chairs (stain/wear)
Sales Stock Check,Internal Kitchen/DiningArea,Carpet/grippers (stain& wear)
Sales Stock Check,Internal Kitchen/DiningArea,Blinds/curtains (stains/rust)
Sales Stock Check,Internal Kitchen/DiningArea,Windows/handles/seals/locks
Sales Stock Check,Internal Kitchen/DiningArea,Radiators/heaters (rust-free)
Sales Stock Check,Main Bathroom,Door/handles/ hinges
Sales Stock Check,Main Bathroom,Wallboards & trims
Sales Stock Check,Main Bathroom,Lights/ceiling and mirror
Sales Stock Check,Main Bathroom,Toilet/seat/flush
Sales Stock Check,Main Bathroom,Sink/taps/ plug and pipework
Sales Stock Check,Main Bathroom,Shower/head/plug/silicon/screen
Sales Stock Check,Main Bathroom,Bath/plus/silicon
Sales Stock Check,Main Bathroom,Flooring/gripper
Sales Stock Check,Main Bathroom,Blinds/curtains (stains/rust)
Sales Stock Check,Main Bathroom,Windows/handles/seals/locks
Sales Stock Check,Main Bathroom,Radiators/towel rail (rust free)
Sales Stock Check,Main Bathroom,"Extractor fan, clean & working"
Sales Stock Check,Bedroom 1,Door/handles/ hinges
Sales Stock Check,Bedroom 1,Wallboards & trims
Sales Stock Check,Bedroom 1,Lights/ceiling and mirror
Sales Stock Check,Bedroom 1,Blinds/curtains (stains/rust)
Sales Stock Check,Bedroom 1,Windows/handles/seals/locks
Sales Stock Check,Bedroom 1,Radiators/heaters (rust-free)
Sales Stock Check,Bedroom 1,Bed/mattress/slats
Sales Stock Check,Bedroom 1,Wardrobes (doors aligned/hinges
Sales Stock Check,Bedroom 1,Drawers (aligned & runners ok)
Sales Stock Check,Bedroom 1,Bedside tables/vanity units
Sales Stock Check,Bedroom 1,Carpet/grippers (stain& wear)
Sales Stock Check,Bedroom 2,Door/handles/ hinges
Sales Stock Check,Bedroom 2,Wallboards & trims
Sales Stock Check,Bedroom 2,Lights/ceiling and mirror
Sales Stock Check,Bedroom 2,Blinds/curtains (stains/rust)
Sales Stock Check,Bedroom 2,Windows/handles/seals/locks
Sales Stock Check,Bedroom 2,Radiators/heaters (rust-free)
Sales Stock Check,Bedroom 2,Bed/mattress/slats
Sales Stock Check,Bedroom 2,Wardrobes (doors aligned/hinges
Sales Stock Check,Bedroom 2,Drawers (aligned & runners ok)
Sales Stock Check,Bedroom 2,Bedside tables/vanity units
Sales Stock Check,Bedroom 2,Carpet/grippers (stain& wear)
Sales Stock Check,Bedroom 3,Door/handles/ hinges
Sales Stock Check,Bedroom 3,Wallboards & trims
Sales Stock Check,Bedroom 3,Lights/ceiling and mirror
Sales Stock Check,Bedroom 3,Blinds/curtains (stains/rust)
Sales Stock Check,Bedroom 3,Windows/handles/seals/locks
Sales Stock Check,Bedroom 3,Radiators/heaters (rust-free)
Sales Stock Check,Bedroom 3,Bed/mattress/slats
Sales Stock Check,Bedroom 3,Wardrobes (doors aligned/hinges
Sales Stock Check,Bedroom 3,Drawers (aligned & runners ok)
Sales Stock Check,Bedroom 3,Bedside tables/vanity units
Sales Stock Check,Bedroom 3,Carpet/grippers (stain& wear)
Sales Stock Check,Utility Room,Door/handles/ hinges
Sales Stock Check,Utility Room,Wallboards & trims
Sales Stock Check,Utility Room,Lights/switches
Sales Stock Check,Utility Room,Blinds/curtains (stains/rust)
Sales Stock Check,Utility Room,Windows/handles/seals/locks
Sales Stock Check,Utility Room,Radiators/heaters (rust-free)
Sales Stock Check,Utility Room,Cabinets/drawers/worktops
Sales Stock Check,Utility Room,Sink/taps/ plug and pipework
Sales Stock Check,Utility Room,"Washing machine, clean & working"
Sales Stock Check,Utility Room,"Extractor fan, clean & working"
Sales Stock Check,Fire/Smoke/Carbon Monoxide Detectors,Fire/smoke alarm (comment expiry date)
Sales Stock Check,Fire/Smoke/Carbon Monoxide Detectors,Blanket/extinguisher (comment expiry date)
Sales Stock Check,Fire/Smoke/Carbon Monoxide Detectors,Carbon Monoxide (comment expiry date)
