checklist_id,section,task
checklist_b,Entrance,Entrance is clean and unobstructed
checklist_b,Entrance,Exterior windows and sills clean
checklist_b,Kitchen,Clean bin and fresh bag
checklist_b,Kitchen,Cabinets clean
checklist_b,Kitchen,Inventory tidy and complete
checklist_b,Kitchen,"Oven, hob and hood clean"
checklist_b,Kitchen,Worktops and shelves clean
checklist_b,Kitchen,Kettle and toaster clean and empty
checklist_b,Kitchen,"Sink and taps clean, dishes done, splash back clean"
checklist_b,Kitchen,Doors and skirting clean
checklist_b,Kitchen,Windows clean and dressed
checklist_b,Kitchen,Up high clean and dust and cobweb free
checklist_b,Kitchen,Light fittings clean
checklist_b,Kitchen,Walls spot cleaned
checklist_b,Kitchen,Floor clean
checklist_b,Bathroom,Clean bin and fresh bag
checklist_b,Bathroom,"Bath, shower and sink sparkling clean"
checklist_b,Bathroom,"Taps, shower head and fittings polished"
checklist_b,Bathroom,"Toilet bowl clear and clean, pedestal clean"
checklist_b,Bathroom,Toilet seat and hinges clean and hygiene strap
checklist_b,Bathroom,"Toilet paper holder clean, paper folded"
checklist_b,Bathroom,Spare rolls in place
checklist_b,Bathroom,Mirrors polished and cabinets clean
checklist_b,Bathroom,Doors and skirting clean
checklist_b,Bathroom,Windows clean and dressed
checklist_b,Bathroom,Up high clean and dust and cobweb free
checklist_b,Bathroom,Light fittings clean
checklist_b,Bathroom,Walls spot cleaned
checklist_b,Bathroom,"Floor clean, odour free, no hairs"
checklist_b,Bedrooms,Clean bin and Fresh bag
checklist_b,Bedrooms,"Cabinets and wardrobes clean, hangers organised"
checklist_b,Bedrooms,"Mirrors polished, pictures dusted"
checklist_b,Bedrooms,Doors and skirting clean
checklist_b,Bedrooms,Windows clean and dressed
checklist_b,Bedrooms,Up high clean and dust and cobweb free
checklist_b,Bedrooms,Light fittings clean
checklist_b,Bedrooms,Tiles/walls clean
checklist_b,Bedrooms,Mattress clean
checklist_b,Bedrooms,"Clean stain-free linen, duvet cover and pillows protectors"
checklist_b,Bedrooms,"Bed neat, pillows facing same way"
checklist_b,Bedrooms,"Floor clean, odour free, no stains or hairs"
checklist_b,Lounge,Clean bin and fresh bag
checklist_b,Lounge,"Furniture polished, shelves and surfaces"
checklist_b,Lounge,"Mirrors polished, pictures dusted"
checklist_b,Lounge,Doors and skirting clean
checklist_b,Lounge,Windows clean and dressed
checklist_b,Lounge,Up high clean and dust and cobweb free
checklist_b,Lounge,Light fittings clean
checklist_b,Lounge,Upholstery spot cleaned
checklist_b,Lounge,"TV, remote and audio wiped clean."
checklist_b,Lounge,Furniture arranged neatly.
checklist_b,Lounge,"Floor clean, odour free, no stains or hairs"
checklist_b,Lounge,Patio / Balcony clean
checklist_b,Outside,Outside furniture clean and tidy
checklist_b,Outside,Handprints/smears removed from doors/window
